epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
86,2905.12,0.5039,0.38122,0.92433,0.91502,0.90975,0.94726,0.79963,0.68402,0.47645,1.0249,0.0001902,6.34E-05,0.0001902,6.34E-05,0.0001902,6.34E-05,0.0001902,6.34E-05
87,2937.91,0.49938,0.37394,0.9194,0.92892,0.89884,0.94409,0.80105,0.67781,0.47809,1.02189,0.00017832,5.94E-05,0.00017832,5.94E-05,0.00017832,5.94E-05,0.00017832,5.94E-05
88,2971.4,0.49564,0.38033,0.92305,0.9381,0.89233,0.94599,0.79841,0.68059,0.47564,1.02127,0.00016644,5.55E-05,0.00016644,5.55E-05,0.00016644,5.55E-05,0.00016644,5.55E-05
89,3004.85,0.49729,0.37499,0.92606,0.93428,0.89779,0.94636,0.79932,0.67443,0.47603,1.01877,0.00015456,5.15E-05,0.00015456,5.15E-05,0.00015456,5.15E-05,0.00015456,5.15E-05
90,3037.52,0.4953,0.3794,0.91882,0.9037,0.92225,0.94599,0.80175,0.67245,0.46904,1.02072,0.00014268,4.76E-05,0.00014268,4.76E-05,0.00014268,4.76E-05,0.00014268,4.76E-05
91,3072.86,0.43458,0.29593,0.87211,0.90987,0.91575,0.94248,0.79712,0.67696,0.48054,1.02612,0.0001308,4.36E-05,0.0001308,4.36E-05,0.0001308,4.36E-05,0.0001308,4.36E-05
92,3105.59,0.43542,0.29163,0.87606,0.89963,0.92071,0.94209,0.79919,0.6785,0.4783,1.02532,0.00011892,3.96E-05,0.00011892,3.96E-05,0.00011892,3.96E-05,0.00011892,3.96E-05
93,3137.98,0.42553,0.28986,0.86837,0.91094,0.91728,0.94318,0.7978,0.67688,0.48054,1.02547,0.00010704,3.57E-05,0.00010704,3.57E-05,0.00010704,3.57E-05,0.00010704,3.57E-05
94,3170.74,0.41901,0.27892,0.87032,0.9079,0.92306,0.94397,0.79682,0.67984,0.48104,1.02735,9.52E-05,3.17E-05,9.52E-05,3.17E-05,9.52E-05,3.17E-05,9.52E-05,3.17E-05
95,3203.03,0.42314,0.28185,0.86471,0.91373,0.91288,0.94417,0.79696,0.68015,0.48065,1.02592,8.33E-05,2.78E-05,8.33E-05,2.78E-05,8.33E-05,2.78E-05,8.33E-05,2.78E-05
96,3235.91,0.42267,0.27914,0.86728,0.91876,0.90999,0.94427,0.79806,0.67823,0.48362,1.02431,7.14E-05,2.38E-05,7.14E-05,2.38E-05,7.14E-05,2.38E-05,7.14E-05,2.38E-05
97,3268.48,0.42141,0.28136,0.86415,0.91816,0.90958,0.9437,0.79728,0.67662,0.48597,1.02228,5.95E-05,1.98E-05,5.95E-05,1.98E-05,5.95E-05,1.98E-05,5.95E-05,1.98E-05
98,3301.15,0.40776,0.27305,0.86385,0.91763,0.91187,0.94448,0.79757,0.67655,0.48569,1.02329,4.76E-05,1.59E-05,4.76E-05,1.59E-05,4.76E-05,1.59E-05,4.76E-05,1.59E-05
99,3334.08,0.40423,0.27351,0.86419,0.90783,0.91714,0.94415,0.79775,0.6765,0.48704,1.02341,3.58E-05,1.19E-05,3.58E-05,1.19E-05,3.58E-05,1.19E-05,3.58E-05,1.19E-05
100,3366.33,0.41558,0.27623,0.85959,0.91901,0.90686,0.94446,0.79725,0.67655,0.48724,1.02351,2.39E-05,7.96E-06,2.39E-05,7.96E-06,2.39E-05,7.96E-06,2.39E-05,7.96E-06
